tick,death_rate,cdi,hazard_rate,extinction_probability,extinction_events
207,0.000000,0.000018,0.004000,0.003992,0
208,0.000000,0.000019,0.004000,0.003992,0
209,0.000000,0.000018,0.004000,0.003992,0
210,0.000333,0.000018,0.004000,0.003992,0
211,0.000333,0.000019,0.004000,0.003992,0
212,0.000000,0.000018,0.004000,0.003992,0
213,0.000000,0.000018,0.004000,0.003992,0
214,0.000333,0.000018,0.004000,0.003992,0
215,0.000000,0.000020,0.004000,0.003992,0
216,0.000000,0.000018,0.004000,0.003992,0
217,0.000000,0.000018,0.004000,0.003992,0
218,0.000000,0.000019,0.004000,0.003992,0
219,0.000000,0.000017,0.004000,0.003992,0
220,0.000000,0.000017,0.004000,0.003992,0
221,0.000000,0.000017,0.004000,0.003992,0
222,0.000333,0.000018,0.004000,0.003992,0
223,0.000000,0.000018,0.004000,0.003992,0
224,0.000000,0.000019,0.004000,0.003992,0
225,0.000000,0.000018,0.004000,0.003992,0
226,0.000333,0.000019,0.004000,0.003992,0
227,0.000000,0.000017,0.004000,0.003992,0
228,0.000000,0.000017,0.004000,0.003992,0
229,0.000333,0.000018,0.004000,0.003992,0
230,0.000333,0.000018,0.004000,0.003992,0
231,0.000000,0.000018,0.004000,0.003992,0
232,0.000333,0.000035,0.003999,0.003991,0
233,0.000000,0.000035,0.003999,0.003991,0
234,0.000000,0.000034,0.003999,0.003991,0
235,0.000000,0.000016,0.004000,0.003992,0
236,0.000000,0.000017,0.004000,0.003992,0
237,0.000000,0.000017,0.004000,0.003992,0
238,0.000000,0.000017,0.004000,0.003992,0
239,0.000000,0.000017,0.004000,0.003992,0
240,0.000000,0.000017,0.004000,0.003992,0
241,0.000000,0.000017,0.004000,0.003992,0
242,0.000000,0.000018,0.004000,0.003992,0
243,0.000000,0.000018,0.004000,0.003992,0
244,0.000333,0.000017,0.004000,0.003992,0
245,0.000000,0.000016,0.004000,0.003992,0
246,0.000000,0.000033,0.003999,0.003991,0
247,0.000000,0.000035,0.003999,0.003991,0
248,0.000000,0.000017,0.004000,0.003992,0
249,0.000000,0.000036,0.003999,0.003991,0
250,0.000333,0.000017,0.004000,0.003992,0
251,0.000000,0.000018,0.004000,0.003992,0
252,0.000000,0.000018,0.004000,0.003992,0
253,0.000333,0.000016,0.004000,0.003992,0
254,0.000000,0.000017,0.004000,0.003992,0
255,0.000333,0.000017,0.004000,0.003992,0
256,0.000000,0.000017,0.004000,0.003992,0
257,0.000333,0.000016,0.004000,0.003992,0
258,0.000000,0.000018,0.004000,0.003992,0
259,0.000000,0.000017,0.004000,0.003992,0
260,0.000000,0.000018,0.004000,0.003992,0
261,0.000000,0.000000,0.004000,0.003992,0
262,0.000000,0.000018,0.004000,0.003992,0
263,0.000333,0.000017,0.004000,0.003992,0
264,0.000333,0.000035,0.003999,0.003991,0
265,0.000333,0.000034,0.003999,0.003991,0
266,0.000000,0.000016,0.004000,0.003992,0
267,0.000000,0.000016,0.004000,0.003992,0
268,0.000000,0.000000,0.004000,0.003992,0
269,0.000000,0.000017,0.004000,0.003992,0
270,0.000000,0.000033,0.003999,0.003991,0
271,0.000000,0.000031,0.003999,0.003991,0
272,0.000000,0.000033,0.003999,0.003991,0
273,0.000000,0.000032,0.003999,0.003991,0
274,0.000000,0.000032,0.003999,0.003991,0
275,0.000000,0.000029,0.003999,0.003991,0
276,0.000000,0.000016,0.004000,0.003992,0
277,0.000000,0.000031,0.003999,0.003991,0
278,0.000000,0.000033,0.003999,0.003991,0
279,0.000000,0.000034,0.003999,0.003991,0
280,0.000000,0.000033,0.003999,0.003991,0
281,0.000000,0.000031,0.003999,0.003991,0
282,0.000000,0.000033,0.003999,0.003991,0
283,0.000000,0.000033,0.003999,0.003991,0
284,0.000000,0.000032,0.003999,0.003991,0
285,0.000000,0.000032,0.003999,0.003991,0
286,0.000000,0.000017,0.004000,0.003992,0
287,0.000333,0.000034,0.003999,0.003991,0
288,0.000333,0.000015,0.004000,0.003992,0
289,0.000000,0.000016,0.004000,0.003992,0
290,0.000000,0.000016,0.004000,0.003992,0
291,0.000000,0.000000,0.004000,0.003992,0
292,0.000333,0.000000,0.004000,0.003992,0
293,0.000000,0.000014,0.004000,0.003992,0
294,0.000333,0.000034,0.003999,0.003991,0
295,0.000000,0.000033,0.003999,0.003991,0
296,0.000000,0.000031,0.003999,0.003991,0
297,0.000000,0.000034,0.003999,0.003991,0
298,0.000000,0.000015,0.004000,0.003992,0
299,0.000000,0.000034,0.003999,0.003991,0
300,0.000000,0.000031,0.003999,0.003991,0
301,0.000000,0.000030,0.003999,0.003991,0
302,0.000000,0.000029,0.003999,0.003991,0
303,0.000000,0.000031,0.003999,0.003991,0
304,0.000000,0.000033,0.003999,0.003991,0
305,0.000000,0.000017,0.004000,0.003992,0
306,0.000000,0.000016,0.004000,0.003992,0
307,0.000000,0.000015,0.004000,0.003992,0
308,0.000000,0.000016,0.004000,0.003992,0
309,0.000000,0.000030,0.003999,0.003991,0
310,0.000000,0.000016,0.004000,0.003992,0
311,0.000333,0.000016,0.004000,0.003992,0
312,0.000000,0.000032,0.003999,0.003991,0
313,0.000000,0.000014,0.004000,0.003992,0
314,0.000000,0.000017,0.004000,0.003992,0
315,0.000000,0.000033,0.003999,0.003991,0
316,0.000000,0.000015,0.004000,0.003992,0
317,0.000333,0.000016,0.004000,0.003992,0
318,0.000333,0.000030,0.003999,0.003991,0
319,0.000000,0.000032,0.003999,0.003991,0
320,0.000999,0.000031,0.003999,0.003991,0
321,0.000000,0.000015,0.004000,0.003992,0
322,0.000333,0.000015,0.004000,0.003992,0
323,0.000000,0.000014,0.004000,0.003992,0
324,0.000000,0.000031,0.003999,0.003991,0
325,0.000666,0.000015,0.004000,0.003992,0
326,0.000000,0.000014,0.004000,0.003992,0
327,0.000000,0.000015,0.004000,0.003992,0
328,0.000000,0.000015,0.004000,0.003992,0
329,0.000000,0.000015,0.004000,0.003992,0
330,0.000333,0.000015,0.004000,0.003992,0
331,0.000333,0.000015,0.004000,0.003992,0
332,0.000000,0.000015,0.004000,0.003992,0
333,0.000000,0.000015,0.004000,0.003992,0
334,0.000000,0.000015,0.004000,0.003992,0
335,0.000000,0.000015,0.004000,0.003992,0
336,0.000333,0.000014,0.004000,0.003992,0
337,0.000333,0.000015,0.004000,0.003992,0
338,0.000000,0.000015,0.004000,0.003992,0
339,0.000333,0.000014,0.004000,0.003992,0
340,0.000333,0.000015,0.004000,0.003992,0
341,0.000000,0.000016,0.004000,0.003992,0
