tick,mutation_count,dna_variance
540,70,0.107212
541,77,0.107217
542,73,0.107239
543,66,0.107187
544,76,0.107228
545,61,0.107223
546,64,0.107251
547,65,0.107285
548,70,0.107279
549,70,0.107335
550,70,0.107352
551,66,0.107299
552,66,0.107303
553,66,0.107255
554,74,0.107276
555,60,0.107293
556,67,0.107304
557,65,0.107244
558,62,0.107256
559,62,0.107291
560,67,0.107319
561,76,0.107302
562,70,0.107198
563,95,0.107228
564,68,0.107251
565,75,0.107187
566,62,0.107219
567,44,0.107229
568,69,0.107221
569,73,0.107255
570,71,0.107321
571,50,0.107336
572,98,0.107262
573,69,0.107189
574,63,0.107242
575,69,0.107279
576,63,0.107309
577,62,0.107318
578,79,0.107408
579,61,0.107439
580,57,0.107455
581,72,0.107464
582,65,0.107504
583,62,0.107487
584,70,0.107407
585,67,0.107290
586,75,0.107353
587,76,0.107323
588,55,0.107296
589,58,0.107321
590,46,0.107329
591,71,0.107255
592,59,0.107293
593,75,0.107384
594,59,0.107382
595,47,0.107364
596,80,0.107334
597,67,0.107332
598,69,0.107321
599,63,0.107317
600,68,0.107298
601,58,0.107271
602,58,0.107271
603,62,0.107283
604,74,0.107304
605,75,0.107364
606,72,0.107307
607,89,0.107320
608,44,0.107325
609,56,0.107296
610,57,0.107296
611,58,0.107363
612,59,0.107359
613,60,0.107336
614,63,0.107369
615,57,0.107434
616,76,0.107421
617,72,0.107484
618,55,0.107413
619,61,0.107420
620,49,0.107437
621,63,0.107340
622,60,0.107273
623,62,0.107217
624,57,0.107210
625,67,0.107306
626,64,0.107359
627,72,0.107371
628,84,0.107439
629,46,0.107395
630,63,0.107427
631,62,0.107402
632,44,0.107409
633,76,0.107375
634,77,0.107410
635,65,0.107445
636,54,0.107389
637,53,0.107363
638,67,0.107310
639,74,0.107333
640,86,0.107395
641,72,0.107438
642,58,0.107413
643,76,0.107368
644,80,0.107387
645,71,0.107399
646,80,0.107401
647,57,0.107324
648,66,0.107393
649,72,0.107357
650,41,0.107303
651,69,0.107274
652,65,0.107269
653,81,0.107302
654,61,0.107269
655,62,0.107301
656,59,0.107248
657,54,0.107230
658,63,0.107231
659,84,0.107294
660,55,0.107290
661,52,0.107262
662,68,0.107279
663,56,0.107259
664,69,0.107214
665,76,0.107228
666,72,0.107202
667,67,0.107218
668,65,0.107214
669,61,0.107205
670,44,0.107259
671,49,0.107239
672,66,0.107235
673,62,0.107213
674,62,0.107215
675,63,0.107324
676,44,0.107300
677,61,0.107350
678,65,0.107340
679,57,0.107351
680,58,0.107303
681,79,0.107275
682,45,0.107230
683,76,0.107165
684,55,0.107181
685,59,0.107181
686,74,0.107195
687,55,0.107246
